,pmid,text,entity_type,start,end
213,41059450,glycosylphosphatidylinositol,ChemicalEntity,396,424
214,41059450,Glycosylphosphatidylinositol anchor proteins,GeneOrGeneProduct,456,500
216,41059450,glycosylphosphatidylinositol anchor defects,DiseaseOrPhenotypicFeature,691,734
217,41059450,intellectual disability,DiseaseOrPhenotypicFeature,772,795
218,41059450,dysmorphic features,DiseaseOrPhenotypicFeature,797,816
219,41059450,hypotonia,DiseaseOrPhenotypicFeature,818,827
220,41059450,seizures,DiseaseOrPhenotypicFeature,829,837
221,41059450,hyperphosphatasia,DiseaseOrPhenotypicFeature,854,871
223,41059450,patient,OrganismTaxon,1009,1016
225,41059450,neurodevelopmental delay,DiseaseOrPhenotypicFeature,1043,1067
227,41059450,hearing loss,DiseaseOrPhenotypicFeature,1079,1091
228,41059450,Hirschsprung disease,DiseaseOrPhenotypicFeature,1093,1113
229,41059450,fever,DiseaseOrPhenotypicFeature,1123,1128
230,41059450,alkaline phosphatase,GeneOrGeneProduct,1143,1163
231,41059450,cerebral atrophy,DiseaseOrPhenotypicFeature,1229,1245
232,41059450,corpus callosum hypoplasia,DiseaseOrPhenotypicFeature,1250,1276
233,41059450,c.651C>G,SequenceVariant,1556,1564
234,41059450,p.His217Gln,SequenceVariant,1566,1577
236,41059450,histidine,SequenceVariant,1825,1850
239,41059450,developmental delay,DiseaseOrPhenotypicFeature,2015,2034
241,41059450,epilepsy,DiseaseOrPhenotypicFeature,2071,2079
244,41059450,immunological abnormalities,DiseaseOrPhenotypicFeature,2144,2171
324,41230208,PIBF1,GeneOrGeneProduct,6,11
325,41230208,Joubert Syndrome Type 33,DiseaseOrPhenotypicFeature,54,78
327,41230208,JBTS33,DiseaseOrPhenotypicFeature,106,112
328,41230208,autosomal recessive disorder,DiseaseOrPhenotypicFeature,124,152
329,41230208,developmental delay,DiseaseOrPhenotypicFeature,170,189
330,41230208,renal disease,DiseaseOrPhenotypicFeature,198,211
331,41230208,hypotonia,DiseaseOrPhenotypicFeature,213,222
332,41230208,ataxia,DiseaseOrPhenotypicFeature,223,229
333,41230208,cerebellar vermian hypoplasia,DiseaseOrPhenotypicFeature,231,260
334,41230208,aplasia,DiseaseOrPhenotypicFeature,261,268
335,41230208,optic nerve atrophy,DiseaseOrPhenotypicFeature,270,289
336,41230208,renal atrophy,DiseaseOrPhenotypicFeature,291,304
337,41230208,Joubert syndrome,DiseaseOrPhenotypicFeature,377,393
338,41230208,CEP290,GeneOrGeneProduct,426,432
339,41230208,TMEM216,GeneOrGeneProduct,434,441
340,41230208,TMEM67,GeneOrGeneProduct,443,449
341,41230208,AHI1,GeneOrGeneProduct,451,455
342,41230208,CC2D2A.,GeneOrGeneProduct,461,468
344,41230208,c.1231C>T,SequenceVariant,625,634
345,41230208,p.Arg411Ter,SequenceVariant,636,647
346,41230208,progesterone-induced blocking factor 1,GeneOrGeneProduct,652,690
348,41230208,patients,OrganismTaxon,736,744
351,41230208,dysmorphic features,DiseaseOrPhenotypicFeature,863,882
354,41230208,kidney failure,DiseaseOrPhenotypicFeature,902,916
355,41230208,seizures,DiseaseOrPhenotypicFeature,931,939
356,41230208,patient,OrganismTaxon,947,954
358,41230208,phenobarbital,ChemicalEntity,991,1004
361,41230208,JBTS,DiseaseOrPhenotypicFeature,1199,1203
918,41283084,Cancer,DiseaseOrPhenotypicFeature,71,77
919,41283084,Postoperative nausea and vomiting,DiseaseOrPhenotypicFeature,170,203
920,41283084,PONV,DiseaseOrPhenotypicFeature,205,209
922,41283084,patients,OrganismTaxon,279,287
931,41283084,rs2776262,SequenceVariant,1211,1220
932,41283084,LOC100506403,GeneOrGeneProduct,1237,1249
933,41283084,rs12609817,SequenceVariant,1343,1353
934,41283084,ZNF845,GeneOrGeneProduct,1370,1376
935,41283084,rs921634,SequenceVariant,1503,1511
936,41283084,PKD1L1,GeneOrGeneProduct,1527,1533
937,41283084,rs1927382,SequenceVariant,1695,1704
938,41283084,FGF14,GeneOrGeneProduct,1708,1713
939,41283084,rs1333114,SequenceVariant,1718,1727
940,41283084,PTPRD,GeneOrGeneProduct,1731,1736
947,41283084,CLDN14,GeneOrGeneProduct,1931,1937
948,41283084,rs2071049,SequenceVariant,1938,1947
954,41283084,patient,OrganismTaxon,2241,2248
88,41415885,R183Q,SequenceVariant,0,5
89,41415885,GNAQ,GeneOrGeneProduct,6,10
90,41415885,Sturge-Weber syndrome,DiseaseOrPhenotypicFeature,11,32
91,41415885,Mouse,OrganismTaxon,82,87
93,41415885,SWS,DiseaseOrPhenotypicFeature,118,121
94,41415885,neurovascular malformation disorder,DiseaseOrPhenotypicFeature,131,166
102,41415885,rtTA,GeneOrGeneProduct,497,501
103,41415885,mice,OrganismTaxon,521,525
106,41415885,doxycycline,ChemicalEntity,627,638
107,41415885,seizure,DiseaseOrPhenotypicFeature,693,700
108,41415885,kainate,ChemicalEntity,727,734
109,41415885,Evans blue,ChemicalEntity,789,799
111,41415885,DAPI,ChemicalEntity,845,849
112,41415885,G?q,GeneOrGeneProduct,870,873
113,41415885,Tie2,GeneOrGeneProduct,875,879
114,41415885,phosphorylated-S6,GeneOrGeneProduct,881,898
115,41415885,claudin-5,GeneOrGeneProduct,904,913
116,41415885,X-gal,ChemicalEntity,965,970
123,41415885,S6,GeneOrGeneProduct,1229,1231
135,41415885,mTOR,GeneOrGeneProduct,1683,1687
674,41451023,acenocoumarol,ChemicalEntity,10,23
675,41451023,silodosin,ChemicalEntity,28,37
676,41451023,non-small cell lung cancer,DiseaseOrPhenotypicFeature,41,67
677,41451023,EGFR,GeneOrGeneProduct,83,87
678,41451023,Non-small-cell lung cancer,DiseaseOrPhenotypicFeature,117,143
679,41451023,NSCLC,DiseaseOrPhenotypicFeature,145,150
681,41451023,epidermal growth factor receptor,GeneOrGeneProduct,345,377
686,41451023,cytotoxicity,DiseaseOrPhenotypicFeature,660,672
687,41451023,A549,CellLine,744,748
688,41451023,tumor,DiseaseOrPhenotypicFeature,797,802
693,41451023,IMR-90,CellLine,896,902
699,41451023,KRAS,GeneOrGeneProduct,1178,1182
700,41451023,Kirsten rat sarcoma viral oncogene homolog,GeneOrGeneProduct,1184,1226
701,41451023,ERK2,GeneOrGeneProduct,1232,1236
702,41451023,extracellular signal-regulated kinase 2,GeneOrGeneProduct,1238,1277
707,41451023,cisplatin,ChemicalEntity,1543,1552
711,41451023,caspase-3,GeneOrGeneProduct,1711,1720
782,41834934,rs12826786,SequenceVariant,15,25
783,41834934,rs1899663,SequenceVariant,30,39
784,41834934,Rheumatoid Arthritis Disease,DiseaseOrPhenotypicFeature,120,148
785,41834934,inflammatory arthropathy,DiseaseOrPhenotypicFeature,169,193
786,41834934,rheumatoid arthritis,DiseaseOrPhenotypicFeature,210,230
787,41834934,RA,DiseaseOrPhenotypicFeature,232,234
789,41834934,patients,OrganismTaxon,672,680
794,41834934,HOTAIR,GeneOrGeneProduct,972,978
755,41834939,IL-6,GeneOrGeneProduct,13,17
756,41834939,TGF-?2,GeneOrGeneProduct,22,28
757,41834939,Colon Cancer,DiseaseOrPhenotypicFeature,32,44
758,41834939,Colon rectal cancer,DiseaseOrPhenotypicFeature,91,110
759,41834939,cancer,DiseaseOrPhenotypicFeature,157,163
760,41834939,colorectal cancer,DiseaseOrPhenotypicFeature,182,199
763,41834939,dox,ChemicalEntity,357,360
764,41834939,HT-29,CellLine,385,390
765,41834939,colon adenocarcinoma,DiseaseOrPhenotypicFeature,416,436
766,41834939,smad4,GeneOrGeneProduct,442,447
767,41834939,Colo205,CellLine,462,469
770,41834939,doxorubicin,ChemicalEntity,588,599
771,41834939,TGF-?2 ligand,GeneOrGeneProduct,662,675
804,42147992,Pregnancy Loss,DiseaseOrPhenotypicFeature,28,42
805,42147992,Early pregnancy loss,DiseaseOrPhenotypicFeature,108,113
807,42147992,EPL,DiseaseOrPhenotypicFeature,130,133
808,42147992,chromosomal abnormalities,DiseaseOrPhenotypicFeature,243,268
811,42147992,EPLs,DiseaseOrPhenotypicFeature,606,610
812,42147992,DYRK1A,GeneOrGeneProduct,939,945
813,42147992,RUNX1,GeneOrGeneProduct,957,962
815,42147992,CPLANE1,GeneOrGeneProduct,1008,1015
816,42147992,DHCR7,GeneOrGeneProduct,1024,1029
817,42147992,DSG2,GeneOrGeneProduct,1038,1042
818,42147992,DVL1,GeneOrGeneProduct,1051,1055
819,42147992,NF1,GeneOrGeneProduct,1075,1078
820,42147992,RBM8A,GeneOrGeneProduct,1087,1092
821,42147992,SLC6A1,GeneOrGeneProduct,1101,1107
822,42147992,VWF,GeneOrGeneProduct,1120,1123
823,42147992,embryonic lethality,DiseaseOrPhenotypicFeature,1268,1287
824,42147992,GBA1,GeneOrGeneProduct,1564,1568
825,42147992,PKHD1,GeneOrGeneProduct,1589,1594
826,42147992,RPGRIP1L,GeneOrGeneProduct,1607,1615
827,42147992,MYH3,GeneOrGeneProduct,1710,1714
828,42147992,PRDM6,GeneOrGeneProduct,1723,1728
829,42147992,SCN5A,GeneOrGeneProduct,1737,1742
830,42147992,TBX18,GeneOrGeneProduct,1751,1756
831,42147992,TSC1,GeneOrGeneProduct,1769,1773
833,42147992,congenital disorders,DiseaseOrPhenotypicFeature,2056,2076
834,42147992,embryonically lethal,DiseaseOrPhenotypicFeature,2102,2122
282,42148001,Townes-Brocks Syndrome,DiseaseOrPhenotypicFeature,0,22
283,42148001,Renal Hypodysplasia,DiseaseOrPhenotypicFeature,39,58
285,42148001,TBS,DiseaseOrPhenotypicFeature,160,163
286,42148001,autosomal dominant disorder,DiseaseOrPhenotypicFeature,175,202
287,42148001,SALL1,GeneOrGeneProduct,239,244
288,42148001,dysplastic ears,DiseaseOrPhenotypicFeature,273,288
289,42148001,anorectal malformations,DiseaseOrPhenotypicFeature,290,313
290,42148001,thumb anomalies,DiseaseOrPhenotypicFeature,319,334
291,42148001,Renal involvement,DiseaseOrPhenotypicFeature,336,353
294,42148001,c.1509C>A,SequenceVariant,514,523
295,42148001,p. Tyr503Ter,SequenceVariant,525,537
296,42148001,patients,OrganismTaxon,637,645
297,42148001,bilateral renal Hypodysplasia,DiseaseOrPhenotypicFeature,738,767
298,42148001,chronic kidney disease,DiseaseOrPhenotypicFeature,772,794
299,42148001,CKD,DiseaseOrPhenotypicFeature,796,799
301,42148001,end-stage renal disease,DiseaseOrPhenotypicFeature,887,910
302,42148001,ESRD,DiseaseOrPhenotypicFeature,912,916
303,42148001,patient,OrganismTaxon,991,998
304,42148001,anal atresia,DiseaseOrPhenotypicFeature,1017,1029
306,42148001,hypospadias,DiseaseOrPhenotypicFeature,1048,1059
307,42148001,congenital hypothyroidism,DiseaseOrPhenotypicFeature,1065,1090
308,42148001,CKD stage II,DiseaseOrPhenotypicFeature,1117,1129
310,42148001,CKD stage III,DiseaseOrPhenotypicFeature,1155,1168
311,42148001,proteinuria,DiseaseOrPhenotypicFeature,1207,1218
313,42148001,sensorineural hearing loss,DiseaseOrPhenotypicFeature,1258,1284
320,42148001,congenital anomalies of the kidney and Urinary tract,DiseaseOrPhenotypicFeature,1578,1630
321,42148001,CAKUT,DiseaseOrPhenotypicFeature,1632,1637
322,42148001,anorectal anomalies,DiseaseOrPhenotypicFeature,1678,1697
323,42148001,kidney disease,DiseaseOrPhenotypicFeature,1795,1809
198,42206121,Oral Cancer,DiseaseOrPhenotypicFeature,114,125
201,42206121,oral cancers,DiseaseOrPhenotypicFeature,1252,1264
205,42206121,patients,OrganismTaxon,2086,2094
248,42239639,Infectious Diseases,DiseaseOrPhenotypicFeature,66,85
249,42239639,coronavirus disease 2019,DiseaseOrPhenotypicFeature,433,457
250,42239639,COVID-19,DiseaseOrPhenotypicFeature,459,467
252,42239639,polio,DiseaseOrPhenotypicFeature,790,795
253,42239639,monkeypox,DiseaseOrPhenotypicFeature,797,806
254,42239639,infectious disease,DiseaseOrPhenotypicFeature,818,836
137,42376533,basal cell carcinoma,DiseaseOrPhenotypicFeature,11,31
138,42376533,cat,OrganismTaxon,62,65
139,42376533,metastasis,DiseaseOrPhenotypicFeature,106,116
140,42376533,Basal cell carcinomas,DiseaseOrPhenotypicFeature,118,139
141,42376533,BCCs,DiseaseOrPhenotypicFeature,141,145
142,42376533,cats,OrganismTaxon,150,154
143,42376533,benign skin tumors,DiseaseOrPhenotypicFeature,181,199
145,42376533,facial lesions,DiseaseOrPhenotypicFeature,318,332
148,42376533,ulcer,DiseaseOrPhenotypicFeature,438,443
150,42376533,BCC,DiseaseOrPhenotypicFeature,780,783
151,42376533,carboplatin,ChemicalEntity,878,889
153,42376533,feline,OrganismTaxon,1042,1048
155,42376533,skin ulcers,DiseaseOrPhenotypicFeature,1253,1264
156,42422171,Menaquinone-7,ChemicalEntity,0,13
157,42422171,mitochondrial dysfunction,DiseaseOrPhenotypicFeature,25,50
158,42422171,osteoporosis,DiseaseOrPhenotypicFeature,76,88
159,42422171,PINK1,GeneOrGeneProduct,106,111
160,42422171,PXR,GeneOrGeneProduct,135,138
161,42422171,ERK,GeneOrGeneProduct,139,142
162,42422171,CREB,GeneOrGeneProduct,143,147
166,42422171,MK-7,ChemicalEntity,368,372
167,42422171,vitamin K,ChemicalEntity,377,386
168,42422171,senile osteoporosis,DiseaseOrPhenotypicFeature,476,495
169,42422171,adeno-associated virus,OrganismTaxon,548,553
170,42422171,AAV,OrganismTaxon,572,575
171,42422171,mice,OrganismTaxon,609,613
172,42422171,cellular communication network factor 2,GeneOrGeneProduct,615,654
173,42422171,Ccn2,GeneOrGeneProduct,656,660
176,42422171,pregnane X receptor,GeneOrGeneProduct,817,836
178,42422171,extracellular signal-regulated kinases 1/2,GeneOrGeneProduct,859,901
179,42422171,ERK1/2,GeneOrGeneProduct,903,909
180,42422171,cyclic AMP-responsive element-binding protein,GeneOrGeneProduct,911,956
183,42422171,PTEN-induced kinase 1,GeneOrGeneProduct,1080,1101
185,42422171,Parkin,GeneOrGeneProduct,1110,1116
186,42422171,oxygen species,ChemicalEntity,1181,1195
188,42422171,bone loss,DiseaseOrPhenotypicFeature,1407,1416
837,42500341,MT1A,GeneOrGeneProduct,18,22
838,42500341,rs11640851,SequenceVariant,27,37
839,42500341,rs8052394,SequenceVariant,39,48
840,42500341,rs11076161,SequenceVariant,53,63
841,42500341,Breast Cancer,DiseaseOrPhenotypicFeature,106,119
842,42500341,Metallothionein,GeneOrGeneProduct,182,197
848,42500341,BC,DiseaseOrPhenotypicFeature,517,519
849,42500341,patients,OrganismTaxon,578,586
863,42500341,rs1164085,SequenceVariant,1582,1591
495,42500343,Women,OrganismTaxon,41,46
496,42500343,Polycystic Ovary Syndrome,DiseaseOrPhenotypicFeature,76,101
497,42500343,Lipid,ChemicalEntity,127,132
500,42500343,PCOS,DiseaseOrPhenotypicFeature,182,186
501,42500343,endocrine-metabolic disorder,DiseaseOrPhenotypicFeature,194,222
502,42500343,infertility,DiseaseOrPhenotypicFeature,256,267
505,42500343,polycystic ovaries,DiseaseOrPhenotypicFeature,308,326
506,42500343,hyperandrogenism,DiseaseOrPhenotypicFeature,328,344
507,42500343,anovulation,DiseaseOrPhenotypicFeature,350,361
508,42500343,metabolic syndromes,DiseaseOrPhenotypicFeature,436,455
511,42500343,OS,DiseaseOrPhenotypicFeature,542,544
515,42500343,triglycerides,ChemicalEntity,841,854
516,42500343,testosterone,ChemicalEntity,868,880
517,42500343,LH,GeneOrGeneProduct,882,884
518,42500343,MDA,ChemicalEntity,886,889
538,42500343,obesity,DiseaseOrPhenotypicFeature,1611,1618
539,42500343,dyslipidemia,DiseaseOrPhenotypicFeature,1624,1636
1214,42524382,Human,OrganismTaxon,99,104
1215,42524382,pain,DiseaseOrPhenotypicFeature,1420,1424
1216,42524382,patients,OrganismTaxon,1563,1571
895,42540124,Gastrointestinal Ascariasis,DiseaseOrPhenotypicFeature,0,27
896,42540124,Ascariasis,DiseaseOrPhenotypicFeature,62,72
897,42540124,helminthic infection,DiseaseOrPhenotypicFeature,78,98
898,42540124,Ascaris lumbricoides,OrganismTaxon,125,145
899,42540124,helminth infection,DiseaseOrPhenotypicFeature,181,199
900,42540124,intestinal ascariasis,DiseaseOrPhenotypicFeature,278,299
901,42540124,non-steroidal anti-inflammatory drug,ChemicalEntity,427,463
902,42540124,NSAID,ChemicalEntity,465,470
903,42540124,upper gastrointestinal bleeding,DiseaseOrPhenotypicFeature,482,513
904,42540124,Ascaris worms,OrganismTaxon,558,571
905,42540124,liver cirrhosis,DiseaseOrPhenotypicFeature,670,685
906,42540124,vomiting,DiseaseOrPhenotypicFeature,696,704
908,42540124,patients,OrganismTaxon,776,784
909,42540124,anthelminthic,ChemicalEntity,810,823
912,42540124,upper GI bleeding,DiseaseOrPhenotypicFeature,1022,1039
913,42540124,biliary ascariasis,DiseaseOrPhenotypicFeature,1099,1117
914,42540124,ascariasis co-infection,DiseaseOrPhenotypicFeature,1121,1144
1101,42548349,Nintedanib,ChemicalEntity,27,37
1102,42548349,Immunosuppression,DiseaseOrPhenotypicFeature,42,59
1103,42548349,Autoimmune Inflammatory Myopathy,DiseaseOrPhenotypicFeature,63,95
1104,42548349,Pulmonary Fibrosis,DiseaseOrPhenotypicFeature,119,137
1105,42548349,Autoimmune-inflammatory myopathy-related interstitial lung diseases,DiseaseOrPhenotypicFeature,139,206
1106,42548349,AIM-ILDs,DiseaseOrPhenotypicFeature,208,216
1109,42548349,AIM-ILD,DiseaseOrPhenotypicFeature,392,399
1111,42548349,patients,OrganismTaxon,474,482
1120,42548349,diarrhea,DiseaseOrPhenotypicFeature,1396,1404
1121,42548349,nausea/vomiting,DiseaseOrPhenotypicFeature,1406,1421
1122,42548349,abdominal pain,DiseaseOrPhenotypicFeature,1427,1441
410,42582296,Women,OrganismTaxon,1339,1344
411,42582296,men,OrganismTaxon,1435,1438
958,42602331,H2AX,GeneOrGeneProduct,0,4
959,42602331,SET,GeneOrGeneProduct,35,38
960,42602331,PP2A,GeneOrGeneProduct,39,43
961,42602331,glioma,DiseaseOrPhenotypicFeature,59,65
962,42602331,Glioblastoma,DiseaseOrPhenotypicFeature,88,100
964,42602331,tumor,DiseaseOrPhenotypicFeature,164,169
968,42602331,?H2AX,GeneOrGeneProduct,550,555
971,42602331,S139A,SequenceVariant,806,811
976,42602331,PP2A phosphatase,GeneOrGeneProduct,1005,1021
977,42602331,SET oncoprotein,GeneOrGeneProduct,1070,1085
18,42621305,N6-methyladenosine,ChemicalEntity,0,18
19,42621305,circLPAR3,GeneOrGeneProduct,28,37
20,42621305,docetaxel,ChemicalEntity,45,54
21,42621305,prostate cancer,DiseaseOrPhenotypicFeature,69,84
22,42621305,PCBP2,GeneOrGeneProduct,124,129
23,42621305,CHAC1,GeneOrGeneProduct,130,135
26,42621305,PCa,DiseaseOrPhenotypicFeature,311,314
29,42621305,DTX,ChemicalEntity,404,407
33,42621305,METTL3,GeneOrGeneProduct,718,724
34,42621305,IGF2BP2,GeneOrGeneProduct,725,732
41,42621305,cytotoxicity,DiseaseOrPhenotypicFeature,978,990
51,42621305,m6A,ChemicalEntity,1476,1481
0,42625765,Streptococcus Agalactiae,OrganismTaxon,80,104
1,42625765,Bovine Mastitis,DiseaseOrPhenotypicFeature,121,136
3,42625765,mastitis,DiseaseOrPhenotypicFeature,239,247
4,42625765,cows,OrganismTaxon,251,255
8,42625765,bacteria,OrganismTaxon,622,630
12,42625765,bac,GeneOrGeneProduct,1604,1607
13,42625765,S. agalactiae,OrganismTaxon,1705,1718
722,42625940,Horsemint,OrganismTaxon,99,108
723,42625940,Mentha longifolia,OrganismTaxon,113,130
727,42625940,ESKAPE bacteria,OrganismTaxon,854,869
728,42625940,Pseudomonas aeruginosa,OrganismTaxon,950,972
729,42625940,Klebsiella pneumoniae,OrganismTaxon,984,1005
730,42625940,Staphylococcus aureus,OrganismTaxon,1044,1065
731,42625940,synthases,GeneOrGeneProduct,1221,1230
732,42625940,PKS-I,GeneOrGeneProduct,1235,1240
733,42625940,PKS-II,GeneOrGeneProduct,1255,1258
735,42625940,M. longifolia,OrganismTaxon,1792,1805
1016,42629135,Chemokine receptor,GeneOrGeneProduct,0,18
1017,42629135,CX3CR1,GeneOrGeneProduct,19,25
1018,42629135,Tau,GeneOrGeneProduct,64,67
1019,42629135,amyloid-?,GeneOrGeneProduct,72,81
1020,42629135,Alzheimer's disease,DiseaseOrPhenotypicFeature,98,117
1022,42629135,dementia,DiseaseOrPhenotypicFeature,177,185
1023,42629135,neurocognitive decline,DiseaseOrPhenotypicFeature,203,225
1028,42629135,AD,DiseaseOrPhenotypicFeature,414,416
1029,42629135,synaptic dysfunction,DiseaseOrPhenotypicFeature,430,450
1030,42629135,cognitive decline,DiseaseOrPhenotypicFeature,464,481
1031,42629135,G-protein coupled receptors,GeneOrGeneProduct,527,554
1033,42629135,GPCRs,GeneOrGeneProduct,704,709
1036,42629135,CX3CR1 receptor,GeneOrGeneProduct,833,848
1037,42629135,A?,GeneOrGeneProduct,967,969
1044,42629135,CX3CL1,GeneOrGeneProduct,1295,1301
1046,42629135,neuroinflammation,DiseaseOrPhenotypicFeature,1360,1377
543,42630256,cannabidiol,ChemicalEntity,74,85
544,42630256,audiogenic epilepsy,DiseaseOrPhenotypicFeature,122,141
545,42630256,patients,OrganismTaxon,164,172
546,42630256,epilepsy,DiseaseOrPhenotypicFeature,178,186
548,42630256,CBD,ChemicalEntity,288,291
549,42630256,epileptic encephalopathies,DiseaseOrPhenotypicFeature,333,359
551,42630256,hamster,OrganismTaxon,612,619
552,42630256,tonic-clonic seizures,DiseaseOrPhenotypicFeature,663,684
555,42630256,seizure,DiseaseOrPhenotypicFeature,837,844
559,42630256,audiogenic seizure,DiseaseOrPhenotypicFeature,1353,1371
568,42630256,endocannabinoid,ChemicalEntity,2225,2240
569,42630256,Sigmar1,GeneOrGeneProduct,2258,2265
571,42630256,Trpv1,GeneOrGeneProduct,2364,2369
572,42630256,Slc29a1,GeneOrGeneProduct,2381,2388
574,42630256,Htr1a,GeneOrGeneProduct,2477,2482
575,42630256,Adora1,GeneOrGeneProduct,2491,2497
576,42630256,Cnr1,GeneOrGeneProduct,2510,2514
578,42630256,Sal,ChemicalEntity,2666,2669
579,42630256,cannabinoid,ChemicalEntity,2899,2910
450,42630505,Triple-Negative Breast Cancer,DiseaseOrPhenotypicFeature,96,125
452,42630505,TNBC,DiseaseOrPhenotypicFeature,158,162
453,42630505,breast cancer,DiseaseOrPhenotypicFeature,192,205
454,42630505,estrogen receptors,GeneOrGeneProduct,271,289
455,42630505,progesterone receptors,GeneOrGeneProduct,291,313
456,42630505,Human Epidermal Growth Factor Receptor 2,GeneOrGeneProduct,319,359
457,42630505,HER2,GeneOrGeneProduct,361,365
459,42630505,metastasis,DiseaseOrPhenotypicFeature,529,539
460,42630505,Epidermal growth factor receptor,GeneOrGeneProduct,682,714
461,42630505,EGFR,GeneOrGeneProduct,716,720
462,42630505,Phosphoinositide 3-kinase,GeneOrGeneProduct,723,748
463,42630505,Protein Kinase B,GeneOrGeneProduct,749,765
464,42630505,PI3K,GeneOrGeneProduct,767,771
465,42630505,AKT,GeneOrGeneProduct,772,775
466,42630505,Notch,GeneOrGeneProduct,782,787
467,42630505,ubiquitin,GeneOrGeneProduct,952,961
470,42630505,tumor,DiseaseOrPhenotypicFeature,1246,1251
471,42630505,Toll-like receptor 4,GeneOrGeneProduct,1400,1420
472,42630505,Nuclear factor kappa-B,GeneOrGeneProduct,1421,1443
473,42630505,TLR4,GeneOrGeneProduct,1445,1449
474,42630505,NF-?B,GeneOrGeneProduct,1450,1455
475,42630505,Twist family bHLH transcription factor 1,GeneOrGeneProduct,1458,1498
476,42630505,TWIST1,GeneOrGeneProduct,1500,1506
477,42630505,Poly (ADP-Ribose) Polymerase 1,GeneOrGeneProduct,1509,1539
478,42630505,PARP1,GeneOrGeneProduct,1541,1546
479,42630505,Programmed death-ligand 1,GeneOrGeneProduct,1549,1574
480,42630505,PD-L1,GeneOrGeneProduct,1576,1581
481,42630505,Glutathione Peroxidase 4,GeneOrGeneProduct,1588,1612
482,42630505,GPX4,GeneOrGeneProduct,1614,1618
484,42630505,small ubiquitin-like modifier,GeneOrGeneProduct,1674,1703
485,42630505,Neural precursor cell expressed developmentally downregulated protein 8,GeneOrGeneProduct,1719,1790
