,pmid,title,abstract,journal,year
223,40860264,Molecular docking and MD simulation approach to identify potential phytochemical lead molecule against triple negative breast cancer.,"Triple-negative breast cancers (TNBC) are defined as tumors that lack the expression of the estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (HER2). It exhibits unique clinical and pathological features, demonstrates high aggressiveness, and has a relatively poor prognosis and clinical outcome. To identify a novel drug target protein against TNBC and potential phytochemical lead molecules against the identified target. In this study, we retrieved TNBC samples from NGS and microarray datasets in the Gene Expression Omnibus database. We employed a combination of differential gene expression studies, protein-protein interaction analysis, and network topology investigation to identify the target protein. Additionally, the molecular docking and molecular dynamics (MD) simulation studies followed by Molecular Mechanics with Generalised Born Surface Area salvation was used to identify potential lead molecule. The upregulated genes with LogFC > 1.25 and P-value < 0.05 from the TNBC gene expression dataset were identified. Androgen receptor (AR) was found to be an appropriate hub target in the protein-protein interaction network. Phytochemicals that inhibit breast cancer target were retrieved from the PubChem database and virtual screening was performed using PyRx against the AR protein. Thereby, the AR was found to be the target protein and 2-hydroxynaringenin was discovered to be a possible phytochemical lead molecule for combating TNBC. Moreover, the AR and the 2-hydroxynaringenin complex showed structural stability and higher binding affinity through molecular dynamics and MM-GBSA studies. AR was identified as a hub protein that is highly expressed in breast cancer and 2-hydroxynaringenin efficacy of counter TNBC requires further investigation both in vitro and in vivo.",F1000Research,2024.0
268,42148001,Townes-Brocks Syndrome With Consistent Renal Hypodysplasia and Variable Extrarenal Features Across Three Generations of Serbian Family.,"Townes-Brocks syndrome (TBS) is a rare autosomal dominant disorder caused by pathogenic variants in <i>SALL1</i>, classically defined by dysplastic ears, anorectal malformations, and thumb anomalies. Renal involvement is a major determinant of prognosis. We report a Serbian family with multiple members with TBS and molecular confirmation of a SALL1 familial nonsense variant (c.1509C>A, p. Tyr503Ter). Detailed phenotypic data were obtained from paediatric and adult medical records. Seven affected patients across three generations exhibited a remarkably consistent renal phenotype characterized by bilateral renal Hypodysplasia and chronic kidney disease (CKD), contrasted by variable extrarenal features. The proband developed CKD progressing to end-stage renal disease (ESRD) in adolescence, requiring kidney transplantation. Her first male cousin (patient 2) presented with anal atresia, dysplastic ears, hypospadias, and congenital hypothyroidism, and currently has stable CKD stage II. Mother of patient 2 has CKD stage III with small hyperechogenic kidneys and proteinuria. The affected grandfather has ESRD and sensorineural hearing loss. Notably, none of the affected individuals fulfilled the complete classical triad of TBS. This family demonstrates intrafamilial phenotypic variability of TBS but with strikingly consistent renal involvement linked to a familial <i>SALL1</i> variant. TBS should be considered in patients with congenital anomalies of the kidney and Urinary tract (CAKUT) even in the absence of typical limb or anorectal anomalies. Early molecular diagnosis enables appropriate surveillance and timely management of progressive kidney disease.",Balkan journal of medical genetics : BJMG,2025.0
250,41230208,Novel PIBF1 Pathogenic Variant in Three Siblings with Joubert Syndrome Type 33.,"Joubert syndrome type 33 (JBTS33) is a rare autosomal recessive disorder characterized by developmental delay, severe renal disease, hypotonia/ataxia, cerebellar vermian hypoplasia/aplasia, optic nerve atrophy, renal atrophy, and the ""molar tooth sign"" on imaging. Nearly 40 genes associated with Joubert syndrome have been identified, including CEP290, TMEM216, TMEM67, AHI1, and CC2D2A. We report a consanguineous family with JBTS33 diagnosed through whole-exome sequencing. A novel biallelic homozygous nonsense mutation (ENST00000326291.11: c.1231C>T; p.Arg411Ter) in progesterone-induced blocking factor 1 (PIBF1) was identified. Our study included 3 patients with the same homozygous mutation in <i>PIBF1,</i> which contributed to clinical features such as psychomotor issues, dysmorphic features, hypotonia/ataxia, kidney failure, and possibly seizures. All 3 patient seizures have been eliminated after phenobarbital administration. This mutation has not been reported in public databases. This study confirmed <i>PIBF1</i> as a disease-causing gene for JBTS33, expanding the molecular and clinical spectrum of JBTS. Our findings underscore the importance of identifying the genetic underpinnings and phenotypic expansions of <i>PIBF1</i> mutations. Enhanced diagnostic awareness can facilitate early intervention and management. Further research is required to elucidate the relationship between <i>PIBF1</i> mutations and associated clinical manifestations.",Molecular syndromology,2025.0
213,42632907,Exploiting Multicomponent Reactions to Drive the Development of Novel Antitubercular Agents: An Overview.,"Tuberculosis (TB) remains a global epidemic, and Mycobacterium tuberculosis (Mtb), its etiological agent, continues to be the deadliest single infectious agent worldwide. Our inability to eradicate TB is strongly related to Mtb's ability to alternate between an active and latent disease state, and a lack of pharmacological agents that effectively target the heterogeneity of TB, which leads downstream to the emergence of drug resistance. The ongoing quest to discover novel effective chemical agents to improve anti-TB regimens remains a significant challenge. Multicomponent reactions (MCRs) have been shown to generate highly diverse chemical libraries in a time- and cost-efficient, sustainable manner, and thus have emerged as powerful tools to accelerate drug discovery and development. This review provides an overview of the chemical libraries of anti-TB agents developed by MCRs, highlighting the contributions of MCRs to advance anti-TB drug discovery through a medicinal chemistry approach.",ChemMedChem,2026.0
226,40662146,"Insights into the structure, function, and impact of <i>Candida albicans UPC2</i> gene on azole resistance; a mini-review.","Candidiasis is a prevalent fungal infection caused by various species of <i>Candida</i>, especially, <i>C. albicans</i>. The emergence of resistance to azole medications, which are frequently prescribed for the treatment of <i>Candida</i> infections, presents a significant challenge in the management of these infections. The present mini-review summarizes findings from a comprehensive search of articles published between 1999 and 2024, retrieved from Scopus, PubMed, and Web of Science. Studies were selected using specific keywords based on relevance to <i>UPC2</i> gene functions, azole resistance mechanisms, and <i>C. albicans</i> biology. The <i>UPC2</i> gene has become crucial in regulating drug resistance in <i>C. albicans</i>. This gene encodes a zinc (II)-Cys (6) transcription factor involved in the biosynthesis of sterols and contributes to resistance against azole antifungal drugs. When exposed to azoles, <i>UPC2</i> in <i>C. albicans</i> enhances the expression of ergosterol biosynthesis genes, such as <i>ERG2</i> and <i>ERG11</i>. Increased expression of <i>ERG11</i> leads to reduced susceptibility to azoles by boosting the production of 14α-lanosterol demethylase, the primary target of these antifungal agents. Furthermore, <i>UPC2</i> regulates sterol uptake under anaerobic conditions and manages other adaptations to environmental changes, all of which contribute to azole resistance. Gaining insight into how the <i>UPC2</i> gene contributes to azole resistance is essential for the development of effective strategies in the antifungal drug development process.",Current medical mycology,2024.0
45,42582296,"Longer healthy life, but for how many? A stochastic analysis of healthy lifespan inequality.","Over the past 150 years, life expectancy doubled and healthy life expectancy increased. Expectations reveal nothing about variability, so we present a stochastic analysis to investigate changes over time, age and gender of variation, among individuals, in healthy lifespan, for different levels of country income. To complement health-adjusted life expectancy (HALE) data from the Global Burden of Disease Study, we use a stochastic model to compute the standard deviation of healthy life (SDHL). The model is a finite-state absorbing Markov chain with rewards. It includes stochastic survival, mortality, and loss of good health status. An individual surviving from one age to the next gains, as a ""reward,"" a year of good health. This method provides all the moments of healthy longevity. The mean healthy longevity is exactly the HALE. As a measure of variation, here we focus on the standard deviation of healthy longevity. From 1990 to 2019, HALE increased, with greater increases at younger ages. At the same time, SDHL at younger ages decreased and at older ages increased. The most significant changes at birth occurred in low- and lower-middle-income countries. High- and upper-middle-income countries saw notable increases at old ages. Women generally have longer HALE and higher SDHL, but the overall HALE increase was greater for men. The reduction in SDHL over time suggests that more individuals benefit from increased longevity, particularly in low-income countries closing the gap with high-income countries. However, improvements in healthy survival at older ages appear unevenly distributed among individuals in high-income countries.",Annals of operations research,2026.0
42,42633377,Risk factor assessment and molecular characterization of foot-and-mouth disease virus in buffaloes in Bangladesh.,"Foot-and-mouth disease (FMD) is a major infectious disease of cloven-hoofed animals that causes substantial economic losses. FMD in buffaloes was neglected in the surveillance program, therefore, this study aimed to identify and characterize the FMD virus (FMDV) and determine its associated risk factors in buffaloes in Bangladesh. A total of 150 tissue samples were purposively collected from 16 FMD-suspected buffalo farms, representing a study population of 501 buffaloes across three areas of Bangladesh. The samples were analyzed for FMDV and further tested for the serotypes (O, A, Asia 1) by RT-PCR test. The VP1 gene was sequenced and phylogenetic trees were studied. Epidemiological data were collected through a structured questionnaire. Logistic regression models were used to identify outbreak-associated risk factors. Overall, 29.94% (150/501) FMD prevalence and three serotypes, include O (n = 19), A (n = 7), and Asia 1(n = 4), were identified by RT-PCR. The case fatality, attack, and mortality rates of buffalo calves were 32.91%, 63.2%, and 20.8%, respectively. Potential risk factors identified for FMD in buffaloes including age (calves; AOR:14.07, 95%CI:6.37-31.07), grazing with cattle (yes; AOR:19.09, 95%CI:4.49-81.18), deworming practices (No, AOR:8.71, 95%CI:2.20-34.51), isolation shed (No; AOR:5.82, 95%CI:1.41-23.95), and grazing area (bush; AOR:20.78, 95%CI:5.07-85.12). Phylogenetic analysis of serotype O revealed a 95% sequence similarity with recent isolates from Bhutan and Nepal, while serotype A exhibited a 99% similarity with isolates from India and Bangladesh. Therefore, implementing appropriate control strategies is essential for reducing risk factors and minimizes the occurrence and spread of FMD.",Veterinary and animal science,2026.0
146,42633083,Next-Generation Sequencing (NGS) Utility in Advanced Solid Tumors in Low- and Middle-Income Country (LMIC) Setting.,"Introduction Advancements in DNA sequencing have revolutionized our understanding of cancer biology, enabling comprehensive analysis of genetic alterations driving tumorigenesis. Next-generation sequencing (NGS) is increasingly integrated into oncology practice to identify actionable mutations and personalize therapy. However, its clinical utility in low- and middle-income countries (LMICs), where access to sequencing technologies and targeted treatments remains limited, is not well established. Methods This was a retrospective, single-center cohort study involving adult patients with advanced metastatic solid tumors who underwent NGS testing using either tumor tissue or liquid biopsy (Illumina platform, 560-gene panel, 1000X coverage). The primary endpoint was to evaluate the proportion of patients who received NGS-guided targeted therapy. The secondary endpoint was progression-free survival (PFS) in patients treated based on NGS findings. Data analysis was performed using Microsoft Excel 2016 (Microsoft Corp., Redmond, WA, USA). Results Over an 18-month period (January 2021 to June 2022), 93 patients were included. Genomic alterations were detected in 45% (n=42) of patients. Among these, 33% (n=31) had a potentially actionable mutation with an available targeted therapy or clinical trial option. Despite this, only 19% (n=18) received NGS-directed treatment. Of these, 44% (n=8) achieved a PFS of six months or more. Conclusion NGS can identify clinically relevant mutations in a significant proportion of advanced cancer patients in LMIC settings. However, real-world application is hindered by limited access to targeted therapies and clinical trials. Strategies to improve access and infrastructure are essential to realize the full potential of precision oncology in these regions.",Cureus,2026.0
33,42633466,A single-stranded DNA virus replicates in the mitochondria of a marine oomycete.,"A virus with a circular single-stranded DNA genome, HthCRESSV1, was discovered in an oomycete, <i>Halophytophthora thermoambigua</i>, isolated from brackish waters off the Algarve coast in southern Portugal. Phylogenetic analyses place this virus outside of all currently classified families within the phylum <i>Cressdnaviricota</i>, suggesting it represents a distinct lineage. Cellular fractionation, mitochondrial marker co-enrichment, and Southern blot analyses indicate that HthCRESSV1 is associated with mitochondria and replicates episomally. The virus is stably transmitted through zoospores and is associated with a reduced host mycelial growth. Homologous sequences corresponding to both the replication-associated protein and a membrane-associated hypothetical protein were identified in the mitochondrial genomes of several oomycete species, suggesting recurrent endogenization of HthCRESSV1-like viruses in oomycete mitochondria. Together, these findings expand the known diversity of oomycete-associated DNA viruses, identify mitochondria as an unexpected niche for DNA virus replication, and highlight marine environments as underexplored reservoirs of DNA viruses in stramenopiles.",Virus evolution,2026.0
244,42630505,Stage-Specific Regulation of Ubiquitination Modifications and Prospects for Targeted Therapy in Triple-Negative Breast Cancer.,"Triple-negative breast cancer (TNBC) is an aggressive subtype of breast cancer characterized by poor clinical outcomes. Owing to the absence of estrogen receptors, progesterone receptors, and Human Epidermal Growth Factor Receptor 2 (HER2) expression, TNBC shows limited responsiveness to conventional endocrine and targeted therapies. This subtype exhibits strong heterogeneity, a high propensity for metastasis, and a tendency to develop acquired drug resistance. Its survival and progression largely rely on non-classical signaling pathways, including Epidermal growth factor receptor (EGFR), Phosphoinositide 3-kinase/Protein Kinase B (PI3K/AKT), and Notch, which collectively impose substantial challenges to clinical management. In recent years, protein post-translational modifications-particularly ubiquitination and ubiquitin-like modifications-have emerged as key mechanisms governing TNBC malignant progression. This review systematically summarizes the stage-specific regulatory roles of ubiquitination during TNBC initiation, progression, and therapeutic resistance. These mechanisms include modulation of tumor stemness, epithelial-mesenchymal transition, DNA damage repair, ferroptosis, and immune evasion through the regulation of critical proteins such as Toll-like receptor 4/Nuclear factor kappa-B (TLR4/NF-κB), Twist family bHLH transcription factor 1 (TWIST1), Poly (ADP-Ribose) Polymerase 1 (PARP1), Programmed death-ligand 1 (PD-L1), and Glutathione Peroxidase 4 (GPX4). In addition, ubiquitin-like modifications (including small ubiquitin-like modifier (SUMOylation), Neural precursor cell expressed developmentally downregulated protein 8 (NEDDylation), and Interferon-stimulated gene (ISGylation)) function synergistically in maintaining genome stability, transcriptional regulation, and immunological processes. Furthermore, this review highlights the translational potential of targeting ubiquitination pathways in TNBC, covering the applications, advantages, and limitations of immune checkpoint inhibitors, Poly ADP-ribose polymerase (PARP) inhibitors, antibody-drug conjugates, and combination treatment strategies. Finally, it outlines future research directions, such as developing a TNBC-specific ubiquitinome landscape, creating highly selective E3 ligase or deubiquitinase inhibitors, and integrating multi-omics with artificial intelligence technologies. These advances are expected to provide a theoretical foundation and translational insights for precision interventions targeting protein homeostasis in TNBC.",Oncology research,2026.0
