pmid,entity_id,text,entity_type,identifier,start,end,split
14722929,1,GJB2,GeneOrGeneProduct,2706,37,41,train
14722929,2,GJB2,GeneOrGeneProduct,2706,80,84,train
14722929,3,non-syndromic autosomal recessive deafness,DiseaseOrPhenotypicFeature,C567134,117,159,train
14722929,4,NSARD,DiseaseOrPhenotypicFeature,C567134,161,166,train
14722929,5,GJB2,GeneOrGeneProduct,2706,217,221,train
14722929,6,GJB2,GeneOrGeneProduct,2706,251,255,train
14722929,7,non-syndromic deafness,DiseaseOrPhenotypicFeature,D003638,389,411,train
14722929,8,GJB2,GeneOrGeneProduct,2706,538,542,train
14722929,9,GJB2,GeneOrGeneProduct,2706,729,733,train
14722929,10,g.3318-6T>A,SequenceVariant,g|SUB|T|3318-6|A,749,760,train
14722929,11,g.3318-15C>T,SequenceVariant,g|SUB|C|3318-15|T,762,774,train
14722929,12,g.3318-34C>T,SequenceVariant,g|SUB|C|3318-34|T,776,788,train
14722929,13,g.3318-35T>G,SequenceVariant,g|SUB|T|3318-35|G,790,802,train
14722929,14,g.3455_3460del,SequenceVariant,g|DEL|3455_3460|,829,843,train
14722929,15,p.Asp46_Gln48delinsGlu,SequenceVariant,p|INDEL|46_48|Glu,845,867,train
14722929,16,g.3512C>A,SequenceVariant,rs763572195,906,915,train
14722929,17,p.Tyr65X,SequenceVariant,rs763572195,917,925,train
14722929,18,g.3395C>T,SequenceVariant,g|SUB|C|3395|T,950,959,train
14722929,19,p.Thr26,SequenceVariant,p|Allele|T|26,961,968,train
14722929,20,g.3503C>T,SequenceVariant,g|SUB|C|3503|T,971,980,train
14722929,21,p.Asn62,SequenceVariant,p|Allele|N|62,982,989,train
14722929,22,g.3627A>C,SequenceVariant,g|SUB|A|3627|C,992,1001,train
14722929,23,p.Arg104,SequenceVariant,p|Allele|R|104,1003,1011,train
14722929,24,g.3816C>A,SequenceVariant,rs111033360,1047,1056,train
14722929,25,p.Val167Met,SequenceVariant,rs111033360,1058,1069,train
14722929,26,g.3352delG,SequenceVariant,g|DEL|3352|G,1120,1130,train
14722929,27,30delG,SequenceVariant,c|DEL|30|G,1152,1158,train
14722929,28,35 delG,SequenceVariant,c|DEL|35|G,1162,1169,train
14722929,29,g.3426G>A,SequenceVariant,rs72474224,1172,1181,train
14722929,30,p.Val37Ile,SequenceVariant,rs72474224,1183,1193,train
14722929,31,g.3697G>A,SequenceVariant,rs111033196,1196,1205,train
14722929,32,p.Arg127His,SequenceVariant,rs111033196,1207,1218,train
14722929,33,g.3774G>A,SequenceVariant,rs111033186,1221,1230,train
14722929,34,p.Val153Ile,SequenceVariant,rs111033186,1232,1243,train
14722929,35,g.3795G>A,SequenceVariant,rs34988750,1250,1259,train
14722929,36,p.Gly160Ser,SequenceVariant,rs34988750,1261,1272,train
14722929,37,g.3318-34C>T,SequenceVariant,g|SUB|C|3318-34|T,1313,1325,train
14722929,38,g.3352delG,SequenceVariant,g|DEL|3352|G,1330,1340,train
14722929,39,NSARD,DiseaseOrPhenotypicFeature,C567134,1490,1495,train
14722929,40,deafness,DiseaseOrPhenotypicFeature,D003638,1558,1566,train
14722929,41,GJB2,GeneOrGeneProduct,2706,1611,1615,train
14722929,42,deafness,DiseaseOrPhenotypicFeature,D003638,1718,1726,train
15099351,0,PCSK9,GeneOrGeneProduct,255738,17,22,train
15099351,1,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,D006938,55,94,train
15099351,2,Proprotein convertase subtilisin/kexin type 9,GeneOrGeneProduct,255738,96,141,train
15099351,3,PCSK9,GeneOrGeneProduct,255738,143,148,train
15099351,4,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,D006938,168,207,train
15099351,5,PCSK9,GeneOrGeneProduct,255738,243,248,train
15099351,6,cholesterol,ChemicalEntity,D002784,269,280,train
15099351,7,hypercholesterolemia,DiseaseOrPhenotypicFeature,D006937,367,387,train
15099351,8,PCSK9,GeneOrGeneProduct,255738,442,447,train
15099351,9,familial hypercholesterolemia,DiseaseOrPhenotypicFeature,D006937,526,555,train
15099351,10,low-density lipoprotein receptor,GeneOrGeneProduct,3949,579,611,train
15099351,11,R3500Q,SequenceVariant,rs5742904,630,636,train
15099351,12,apolipoprotein B-100,GeneOrGeneProduct,338,644,664,train
15099351,13,PCSK9,GeneOrGeneProduct,255738,766,771,train
15099351,14,patients,OrganismTaxon,9606,782,790,train
15099351,15,D374Y,SequenceVariant,rs137852912,814,819,train
15099351,16,patient,OrganismTaxon,9606,829,836,train
15099351,17,D374Y,SequenceVariant,rs137852912,867,872,train
15099351,18,N157K,SequenceVariant,rs143117125,877,882,train
15099351,19,D374Y,SequenceVariant,rs137852912,884,889,train
15099351,20,hypercholesterolemia,DiseaseOrPhenotypicFeature,D006937,906,926,train
15099351,21,PCSK9,GeneOrGeneProduct,255738,1055,1060,train
15099351,22,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,D006938,1072,1111,train
15122708,0,Desmin-related myopathy,DiseaseOrPhenotypicFeature,C563319,0,23,train
15122708,1,selenoprotein N,GeneOrGeneProduct,57190,88,103,train
15122708,2,Desmin-related myopathies,DiseaseOrPhenotypicFeature,C563319,110,135,train
15122708,3,DRMs,DiseaseOrPhenotypicFeature,C563319,137,141,train
15122708,4,muscle disorders,DiseaseOrPhenotypicFeature,D009135,172,188,train
15122708,5,desmin,GeneOrGeneProduct,1674,249,255,train
15122708,6,desmin,GeneOrGeneProduct,1674,274,280,train
15122708,7,alpha-B crystallin,GeneOrGeneProduct,1410,289,307,train
15122708,8,DRM,DiseaseOrPhenotypicFeature,C563319,357,360,train
15122708,9,DRMs,DiseaseOrPhenotypicFeature,C563319,501,505,train
15122708,10,patients,OrganismTaxon,9606,547,555,train
15122708,11,selenoprotein N,GeneOrGeneProduct,57190,585,600,train
15122708,12,SEPN1,GeneOrGeneProduct,57190,607,612,train
15122708,13,SEPN-related myopathy,DiseaseOrPhenotypicFeature,D009135,633,654,train
15122708,14,SEPN-RM,DiseaseOrPhenotypicFeature,D009135,656,663,train
15122708,15,myopathy,DiseaseOrPhenotypicFeature,D009135,687,695,train
15122708,16,rigid spine muscular dystrophy,DiseaseOrPhenotypicFeature,C535683,754,784,train
15122708,17,multiminicore disease,DiseaseOrPhenotypicFeature,C564969,818,839,train
15122708,18,SEPN-RM,DiseaseOrPhenotypicFeature,D009135,924,931,train
15122708,19,DRM,DiseaseOrPhenotypicFeature,C563319,976,979,train
15122708,20,SEPN1,GeneOrGeneProduct,57190,984,989,train
15122708,21,DRM,DiseaseOrPhenotypicFeature,C563319,1010,1013,train
15122708,22,SEPN1,GeneOrGeneProduct,57190,1077,1082,train
15122708,23,SEPN1,GeneOrGeneProduct,57190,1127,1132,train
15122708,24,del 92 nucleotide -19/+73,SequenceVariant,c|DEL|-19_+73|92,1143,1168,train
15122708,25,patients,OrganismTaxon,9606,1186,1194,train
15122708,26,DRM,DiseaseOrPhenotypicFeature,C563319,1238,1241,train
15122708,27,SEPN-RM,DiseaseOrPhenotypicFeature,D009135,1246,1253,train
15122708,28,DRM,DiseaseOrPhenotypicFeature,C563319,1319,1322,train
15122708,29,SEPN-RM,DiseaseOrPhenotypicFeature,D009135,1348,1355,train
15122708,30,DRM,DiseaseOrPhenotypicFeature,C563319,1416,1419,train
15122708,31,SEPN-RM,DiseaseOrPhenotypicFeature,D009135,1458,1465,train
15122708,32,myopathies,DiseaseOrPhenotypicFeature,D009135,1551,1561,train
15177686,0,HIRA,GeneOrGeneProduct,7290,34,38,train
15177686,1,Tuple1,GeneOrGeneProduct,7290,39,45,train
15177686,2,DiGeorge and Velocardiofacial syndromes,DiseaseOrPhenotypicFeature,D004062,59,98,train
15177686,3,DiGeorge and Velocardiofacial syndromes,DiseaseOrPhenotypicFeature,D004062,100,139,train
15177686,4,DGS,DiseaseOrPhenotypicFeature,D004062,141,144,train
15177686,5,VCFS,DiseaseOrPhenotypicFeature,D004062,145,149,train
15177686,6,"cardiovascular, craniofacial, and thymic malformations",DiseaseOrPhenotypicFeature,"D018376,D019465",204,258,train
15177686,7,DGS,DiseaseOrPhenotypicFeature,D004062,608,611,train
15177686,8,VCFS,DiseaseOrPhenotypicFeature,D004062,612,616,train
15177686,9,HIRA,GeneOrGeneProduct,7290,675,679,train
15177686,10,Tuple1,GeneOrGeneProduct,7290,680,686,train
15177686,11,DGS,DiseaseOrPhenotypicFeature,D004062,724,727,train
15177686,12,VCFS,DiseaseOrPhenotypicFeature,D004062,728,732,train
15177686,13,HIRA,GeneOrGeneProduct,7290,845,849,train
15177686,14,Tuple1,GeneOrGeneProduct,7290,850,856,train
15177686,15,DGS,DiseaseOrPhenotypicFeature,D004062,1214,1217,train
15177686,16,VCFS,DiseaseOrPhenotypicFeature,D004062,1218,1222,train
15188772,0,left ventricular systolic and diastolic dysfunction,DiseaseOrPhenotypicFeature,D018487,18,69,train
15188772,1,epinephrine,ChemicalEntity,D004837,99,110,train
15188772,2,Catecholamine,ChemicalEntity,D002395,121,134,train
15188772,3,cardiomyopathy,DiseaseOrPhenotypicFeature,D009202,143,157,train
15188772,4,catecholamines,ChemicalEntity,D002395,194,208,train
15188772,5,myocardial dysfunction,DiseaseOrPhenotypicFeature,D009202,291,313,train
15188772,6,woman,OrganismTaxon,9606,371,376,train
15188772,7,epinephrine,ChemicalEntity,D004837,436,447,train
15188772,8,myocardial stunning,DiseaseOrPhenotypicFeature,D017682,458,477,train
15188772,9,left ventricular systolic and diastolic dysfunction,DiseaseOrPhenotypicFeature,D018487,563,614,train
15188772,10,myocardial necrosis,DiseaseOrPhenotypicFeature,D009202,666,685,train
15266215,0,cyclooxygenase-2,GeneOrGeneProduct,5743,15,31,train
15266215,1,valdecoxib,ChemicalEntity,C406224,51,61,train
15266215,2,nonsteroidal antiinflammatory agents,ChemicalEntity,D000894,69,105,train
15266215,3,thrombotic,DiseaseOrPhenotypicFeature,D013927,136,146,train
15266215,4,patients,OrganismTaxon,9606,157,165,train
15266215,5,arthritis,DiseaseOrPhenotypicFeature,D001168,171,180,train
15266215,6,thrombotic,DiseaseOrPhenotypicFeature,D013927,239,249,train
15266215,7,cyclooxygenase (COX)-2,GeneOrGeneProduct,5743,276,298,train
15266215,8,nonsteroidal antiinflammatory drugs,ChemicalEntity,D000894,337,372,train
15266215,9,NSAIDs,ChemicalEntity,D000894,374,380,train
15266215,10,valdecoxib,ChemicalEntity,C406224,426,436,train
15266215,11,COX-2,GeneOrGeneProduct,5743,444,449,train
15266215,12,patients,OrganismTaxon,9606,491,499,train
15266215,13,osteoarthritis,DiseaseOrPhenotypicFeature,D010003,505,519,train
15266215,14,rheumatoid arthritis,DiseaseOrPhenotypicFeature,D001172,524,544,train
15266215,15,thrombotic,DiseaseOrPhenotypicFeature,D013927,632,642,train
15266215,16,thrombotic,DiseaseOrPhenotypicFeature,D013927,713,723,train
15266215,17,valdecoxib,ChemicalEntity,C406224,760,770,train
15266215,18,NSAID,ChemicalEntity,D000894,802,807,train
15266215,19,diclofenac,ChemicalEntity,D004008,809,819,train
15266215,20,ibuprofen,ChemicalEntity,D007052,831,840,train
15266215,21,naproxen,ChemicalEntity,D009288,856,864,train
15266215,22,osteoarthritis,DiseaseOrPhenotypicFeature,D010003,913,927,train
15266215,23,rheumatoid arthritis,DiseaseOrPhenotypicFeature,D001172,932,952,train
15266215,24,patients,OrganismTaxon,9606,1047,1055,train
15266215,25,aspirin,ChemicalEntity,D001241,1113,1120,train
15266215,26,aspirin,ChemicalEntity,D001241,1148,1155,train
15266215,27,thrombotic,DiseaseOrPhenotypicFeature,D013927,1210,1220,train
15266215,28,valdecoxib,ChemicalEntity,C406224,1245,1255,train
15266215,29,NSAIDs,ChemicalEntity,D000894,1257,1263,train
15266215,30,thrombotic,DiseaseOrPhenotypicFeature,D013927,1298,1308,train
15266215,31,valdecoxib,ChemicalEntity,C406224,1342,1352,train
15266215,32,Thrombotic,DiseaseOrPhenotypicFeature,D013927,1359,1369,train
15266215,33,aspirin,ChemicalEntity,D001241,1412,1419,train
15266215,34,aspirin,ChemicalEntity,D001241,1443,1450,train
15266215,35,valdecoxib,ChemicalEntity,C406224,1474,1484,train
15266215,36,NSAIDs,ChemicalEntity,D000894,1501,1507,train
15266215,37,aspirin,ChemicalEntity,D001241,1557,1564,train
15266215,38,valdecoxib,ChemicalEntity,C406224,1616,1626,train
15266215,39,valdecoxib,ChemicalEntity,C406224,1751,1761,train
15266215,40,thrombotic,DiseaseOrPhenotypicFeature,D013927,1818,1828,train
15266215,41,NSAIDs,ChemicalEntity,D000894,1861,1867,train
15266215,42,osteoarthritis,DiseaseOrPhenotypicFeature,D010003,1882,1896,train
15266215,43,rheumatoid arthritis,DiseaseOrPhenotypicFeature,D001172,1901,1921,train
15266215,44,patients,OrganismTaxon,9606,1922,1930,train
16005363,0,WFS1,GeneOrGeneProduct,7466,26,30,train
16005363,1,AFF344-345ins,SequenceVariant,p|INS|344_345|AFF,41,54,train
16005363,2,patients,OrganismTaxon,9606,68,76,train
16005363,3,Wolfram syndrome,DiseaseOrPhenotypicFeature,D014929,82,98,train
16005363,4,Wolfram syndrome,DiseaseOrPhenotypicFeature,D014929,100,116,train
